job_role,industry,automation_risk_pct,risk_level,automation_exposure_pct,task_repetition_pct,creativity_requirement_pct,physical_labor_pct,analytical_complexity_pct,social_interaction_pct,avg_salary_usd,experience_required_years,education_level,job_demand_index,job_growth_rate,skill_complexity_score,training_hours_needed,ai_dependency_current,ai_dependency_future,ai_tool_availability
Product Manager,Tech,67.48,Medium,30.63,28.74,11.35,62.02,1.12,5.59,56505,7,High School,0.1236,0.0172,0.0158,269,0.9228,0.1909,None
Business Analyst,Education,8.42,Low,59.31,59.25,5.34,95.97,22.72,59.15,66713,11,Master,0.7848,-0.0886,0.5213,31,0.0337,0.7335,Copilot
Business Analyst,Education,6.12,Low,29.42,29.78,60.83,25.22,33.27,37.25,73169,8,Bachelor,0.8155,-0.0141,0.1212,392,0.3518,0.3727,Copilot
Software Engineer,Tech,68.16,Medium,5.27,5.55,71.54,7.1,3.16,38.67,107511,5,Master,0.1009,-0.0847,0.6796,226,0.2582,0.7244,None
Marketing Specialist,Manufacturing,69.43,Medium,36.76,0.25,37.28,49.24,60.79,88.46,70522,11,PhD,0.0978,-0.0705,0.4976,350,0.0083,0.7744,AutoGPT
Business Analyst,Tech,19.91,Low,25.18,10.12,67.97,8.55,56.88,85.38,129397,11,Bachelor,0.1988,-0.0768,0.7534,475,0.9286,0.9033,Claude
Civil Engineer,Education,95.72,High,38.37,79.23,71.3,26.18,9.7,59.88,33880,9,Bachelor,0.3564,-0.0605,0.2911,210,0.3136,0.4274,Gemini
Graphic Designer,Marketing,78.78,High,56.08,96.14,93.53,12.6,59.5,27.29,73539,1,Bachelor,0.5327,0.1032,0.8292,274,0.5023,0.0958,Copilot
Customer Support,Education,68.64,Medium,54.99,42.7,6.49,22.41,99.87,47.55,44799,1,Bachelor,0.4855,0.0569,0.6508,196,0.5826,0.0217,None
Product Manager,Manufacturing,75.43,High,52.11,51.27,19.23,10.61,94.45,40.83,134843,3,Bachelor,0.8532,0.0267,0.9877,298,0.6105,0.2919,None
Business Analyst,Construction,41.19,Medium,36.78,14.68,6.85,95.39,0.27,35.36,78784,14,Bachelor,0.1422,0.0831,0.1786,370,0.4603,0.9325,Midjourney
Plumber,Tech,45.56,Medium,54.17,55.1,86.8,27.86,79.54,10.28,143034,8,Master,0.6976,0.1403,0.0512,272,0.5938,0.7478,ChatGPT
Product Manager,Healthcare,87.02,High,31.41,14.47,79.26,44.39,35.36,54.31,84362,6,Bachelor,0.5489,0.0044,0.851,426,0.7518,0.5591,Gemini
Marketing Specialist,Marketing,2.54,Low,52.45,61.12,57.46,89.86,6.37,30.18,83997,1,High School,0.7368,-0.0081,0.3385,75,0.9521,0.2396,ChatGPT
Mechanic,Finance,80.24,High,63.55,93.33,8.37,67.73,29.6,66.08,132399,7,Bachelor,0.3419,0.1444,0.4312,465,0.657,0.7128,Midjourney
Sales Manager,Manufacturing,44.76,Medium,37.85,19.57,27.33,61.8,32.17,31.92,44549,10,Master,0.4714,0.0928,0.9257,106,0.4622,0.7408,Copilot
Customer Support,Education,46.4,Medium,66.45,76.46,29.77,70.56,52.32,43.12,86920,6,Bachelor,0.0286,0.0943,0.4407,452,0.4446,0.2304,ChatGPT
Civil Engineer,Healthcare,32.57,Medium,50.45,2.35,56.07,82.88,66.11,5.24,123860,8,Bachelor,0.1161,0.05,0.298,300,0.7099,0.7081,AutoGPT
Product Manager,Legal,60.71,Medium,66.74,37.55,25.8,87.77,74.91,99.25,54624,7,Master,0.375,0.0268,0.0595,102,0.627,0.1202,ChatGPT
HR Specialist,Retail,67.57,Medium,33.31,11.07,7.3,64.26,24.59,50.76,76705,2,Bachelor,0.4813,0.0376,0.4429,169,0.4204,0.1017,ChatGPT
Electrician,Tech,16.08,Low,52.14,35.25,73.08,89.0,32.18,2.42,119326,0,Bachelor,0.0857,0.063,0.655,266,0.3359,0.0552,None
Graphic Designer,Retail,56.57,Medium,33.91,17.35,29.91,53.54,30.84,54.12,90390,1,Master,0.825,-0.0058,0.2692,126,0.9931,0.8102,Midjourney
Consultant,Manufacturing,46.49,Medium,33.78,37.33,45.24,27.73,36.27,87.04,98369,14,High School,0.9461,0.0956,0.7178,360,0.7668,0.2706,None
Graphic Designer,Legal,78.19,High,76.58,41.75,12.77,88.01,99.97,77.26,39589,13,PhD,0.5964,0.1273,0.4783,189,0.2068,0.6042,Gemini
Teacher,Legal,54.53,Medium,54.0,30.06,80.25,54.15,77.79,70.09,143012,12,High School,0.0534,0.0428,0.8581,44,0.2922,0.1445,None
Consultant,Legal,42.96,Medium,84.59,65.66,56.55,90.61,97.5,13.95,175188,1,High School,0.7388,-0.0046,0.1617,305,0.8937,0.4424,Gemini
Marketing Specialist,Finance,52.89,Medium,55.07,91.89,90.16,4.02,69.31,65.77,103181,3,Master,0.2172,0.0739,0.7571,437,0.6608,0.0277,Midjourney
UX Designer,Manufacturing,49.06,Medium,40.15,40.06,49.55,39.75,40.63,76.63,153711,5,High School,0.7337,-0.0545,0.9326,304,0.3108,0.86,None
Accountant,Construction,93.52,High,51.0,19.23,94.14,94.78,38.97,57.24,106425,3,Master,0.4343,0.1421,0.7414,29,0.3642,0.5397,ChatGPT
Electrician,Retail,31.19,Medium,33.63,27.07,89.19,24.97,48.86,89.27,45994,8,Master,0.0534,0.0645,0.4059,362,0.3789,0.8905,ChatGPT
Customer Support,Construction,3.73,Low,73.75,85.4,57.65,94.15,41.69,27.7,141915,3,Master,0.2787,-0.0831,0.2305,224,0.1863,0.4678,Claude
Nurse,Healthcare,66.2,Medium,78.46,57.16,93.39,95.39,82.83,24.21,152961,5,PhD,0.427,0.0324,0.0984,396,0.5112,0.3163,AutoGPT
Marketing Specialist,Energy,60.38,Medium,60.07,45.5,32.31,88.21,46.5,86.96,134672,5,Bachelor,0.7363,0.0876,0.6424,62,0.7656,0.4008,Copilot
Mechanic,Marketing,91.0,High,33.63,14.96,36.56,56.37,29.56,62.54,56639,9,Master,0.1331,-0.0305,0.1429,149,0.5641,0.2438,Copilot
Product Manager,Marketing,11.75,Low,62.38,44.97,4.55,64.69,77.49,0.14,47205,10,High School,0.287,-0.0873,0.8383,145,0.6559,0.8856,Gemini
Accountant,Construction,52.26,Medium,66.75,27.85,58.92,86.96,85.44,35.31,86677,9,Bachelor,0.0835,0.0223,0.9607,457,0.5954,0.2956,Midjourney
Product Manager,Energy,15.08,Low,71.32,94.32,72.19,77.59,42.04,85.79,62930,0,Master,0.6158,0.1084,0.1358,178,0.0589,0.2922,ChatGPT
Software Engineer,Energy,45.57,Medium,72.73,88.41,77.35,63.01,66.78,2.73,103313,7,Bachelor,0.4743,-0.0371,0.3761,376,0.1881,0.6316,None
Product Manager,Tech,79.94,High,37.5,8.39,14.98,98.23,5.88,0.32,143153,11,Bachelor,0.929,0.0793,0.9373,131,0.3503,0.1227,AutoGPT
Doctor,Healthcare,85.74,High,57.73,51.67,44.42,68.57,52.95,28.13,48316,2,Bachelor,0.7406,0.0019,0.4707,148,0.8892,0.2192,Copilot
Doctor,Manufacturing,83.39,High,41.52,22.51,17.69,97.55,4.5,91.4,126058,14,Bachelor,0.7779,-0.0851,0.5354,35,0.3487,0.4299,Midjourney
Consultant,Energy,54.74,Medium,16.58,41.08,66.21,5.74,2.92,90.15,117876,12,PhD,0.1644,-0.024,0.7475,224,0.3271,0.1826,Midjourney
Teacher,Education,63.4,Medium,54.29,87.68,15.79,13.9,61.29,51.88,115366,5,High School,0.2666,-0.0215,0.2105,47,0.0806,0.2573,ChatGPT
Civil Engineer,Marketing,55.16,Medium,42.74,52.75,90.42,45.15,30.33,55.32,43403,2,Bachelor,0.5131,0.1262,0.9791,142,0.9721,0.6999,AutoGPT
Electrician,Education,56.12,Medium,48.72,33.42,23.06,38.49,74.25,33.2,110052,14,Master,0.0135,0.1454,0.7809,297,0.7785,0.2798,Midjourney
Nurse,Healthcare,88.52,High,62.89,20.79,29.14,78.27,89.61,24.37,103495,10,Bachelor,0.8701,-0.0476,0.1614,206,0.7659,0.6372,Copilot
HR Specialist,Energy,20.93,Low,36.68,80.03,85.09,16.06,13.94,81.52,126090,1,High School,0.7777,0.0076,0.1111,121,0.3837,0.4944,Claude
Sales Manager,Retail,43.88,Medium,77.5,62.45,45.85,97.61,72.45,10.63,66701,14,Bachelor,0.0579,0.1442,0.935,152,0.0784,0.7676,Copilot
UX Designer,Marketing,61.01,Medium,43.26,46.81,2.4,31.51,51.45,48.74,164457,4,Bachelor,0.849,0.0018,0.685,454,0.2635,0.7507,AutoGPT
Software Engineer,Tech,76.54,High,25.28,21.75,49.46,42.89,11.21,63.44,87241,13,High School,0.0045,-0.0127,0.0386,372,0.8529,0.1975,Claude
Marketing Specialist,Tech,76.19,High,42.02,33.42,8.45,27.47,65.16,10.37,171439,0,Master,0.1142,-0.0725,0.142,317,0.1803,0.9432,None
Sales Manager,Legal,11.72,Low,71.62,95.98,98.53,57.94,60.95,51.96,95030,8,Bachelor,0.0554,0.0883,0.0478,480,0.8942,0.8022,None
HR Specialist,Finance,22.19,Low,36.48,52.01,58.81,5.86,51.56,57.75,135185,10,Master,0.4792,0.0118,0.9741,378,0.5358,0.5326,Midjourney
Data Analyst,Energy,91.15,High,49.23,40.07,25.65,14.97,92.65,74.25,66404,6,Master,0.784,0.0597,0.4979,391,0.7145,0.5598,Copilot
Sales Manager,Healthcare,35.75,Medium,59.61,52.14,56.37,74.58,52.11,23.48,85182,2,Bachelor,0.1785,0.0275,0.4621,37,0.4536,0.8288,ChatGPT
Sales Manager,Marketing,0.27,Low,65.2,77.9,7.69,18.65,99.05,29.33,62991,3,High School,0.7715,-0.0564,0.9558,156,0.9323,0.4842,AutoGPT
Lawyer,Finance,19.98,Low,36.16,34.01,79.99,23.55,50.92,56.95,134601,12,Bachelor,0.1849,-0.0559,0.5046,319,0.2397,0.4785,Midjourney
Accountant,Healthcare,96.96,High,36.25,17.87,92.53,79.3,11.59,98.31,95886,5,High School,0.9905,0.1349,0.5178,387,0.5724,0.6302,ChatGPT
Plumber,Construction,30.97,Medium,38.29,58.49,87.44,9.33,47.05,21.75,152002,2,Master,0.8535,0.1224,0.9841,90,0.0691,0.0883,Claude
Nurse,Energy,61.37,Medium,42.83,66.52,34.18,43.75,18.23,98.59,113848,11,High School,0.7372,0.0527,0.1114,24,0.4804,0.5821,None
Customer Support,Manufacturing,72.66,High,44.43,71.27,32.58,2.31,59.71,71.43,87692,6,Bachelor,0.5917,-0.0997,0.9858,278,0.9727,0.2239,Gemini
Civil Engineer,Manufacturing,64.66,Medium,64.06,88.2,3.51,34.68,69.31,82.61,67500,12,Bachelor,0.2425,0.0083,0.1657,224,0.0881,0.1167,Gemini
Doctor,Energy,37.76,Medium,51.29,37.12,65.14,69.9,46.84,8.96,63785,5,Bachelor,0.1193,0.0326,0.4729,475,0.5067,0.8154,Claude
HR Specialist,Legal,43.04,Medium,8.77,7.54,53.49,9.01,9.77,30.04,114146,8,High School,0.4603,0.0124,0.3376,32,0.6023,0.3818,Gemini
Accountant,Legal,83.8,High,77.18,95.83,45.93,88.83,46.86,5.77,77997,11,Bachelor,0.4027,0.1314,0.9554,345,0.9317,0.5028,AutoGPT
Sales Manager,Manufacturing,66.28,Medium,47.53,43.5,90.76,90.95,8.15,37.15,37170,14,High School,0.6745,-0.0898,0.4855,199,0.2974,0.2935,Midjourney
Software Engineer,Retail,2.34,Low,47.01,62.33,16.79,10.5,68.21,98.13,174375,4,High School,0.1701,0.0637,0.023,477,0.5029,0.0309,Midjourney
UX Designer,Marketing,20.35,Low,81.58,66.63,0.97,99.07,79.04,10.53,101743,3,Bachelor,0.5621,-0.0215,0.2217,290,0.9872,0.4424,AutoGPT
Plumber,Manufacturing,28.63,Low,60.21,54.65,7.33,29.75,96.24,56.24,65187,2,Master,0.6934,0.0399,0.4308,169,0.769,0.7503,Copilot
Accountant,Retail,36.55,Medium,14.61,20.53,22.34,8.41,14.88,0.61,162965,9,Bachelor,0.299,0.064,0.6764,158,0.8104,0.7583,Midjourney
Product Manager,Finance,57.69,Medium,43.09,75.51,3.33,0.51,53.24,71.27,174825,0,Bachelor,0.78,0.0102,0.5619,394,0.7805,0.922,None
Sales Manager,Retail,36.65,Medium,59.33,80.38,50.28,40.85,56.75,19.72,68090,2,Bachelor,0.4318,-0.0629,0.8499,293,0.5152,0.8404,Gemini
Consultant,Finance,82.5,High,70.18,55.3,31.41,62.98,92.25,12.96,89412,2,Bachelor,0.1626,0.0298,0.8284,100,0.4344,0.9823,None
Sales Manager,Healthcare,47.38,Medium,48.27,48.86,18.05,33.22,62.73,33.7,86030,6,Master,0.1948,0.1332,0.5905,125,0.2548,0.5716,AutoGPT
Civil Engineer,Education,50.22,Medium,36.54,11.39,75.01,83.67,14.55,77.1,47509,6,High School,0.2789,0.034,0.5713,228,0.466,0.0509,ChatGPT
Software Engineer,Healthcare,42.74,Medium,41.23,8.4,20.45,71.66,43.64,10.66,98653,12,Bachelor,0.1581,-0.0693,0.2782,493,0.0205,0.8634,Copilot
Product Manager,Manufacturing,31.05,Medium,44.82,33.96,68.76,35.02,65.48,22.98,159626,14,Master,0.5629,0.106,0.9579,149,0.0971,0.952,ChatGPT
Plumber,Finance,72.48,High,58.18,31.08,34.93,73.43,70.03,0.85,34042,11,Master,0.9491,-0.0446,0.0769,472,0.2873,0.4642,None
Doctor,Manufacturing,22.96,Low,91.91,95.37,51.18,94.05,86.31,96.84,67201,0,High School,0.8961,-0.0074,0.397,29,0.3336,0.1139,Gemini
Civil Engineer,Energy,68.95,Medium,35.24,78.36,93.39,9.31,18.05,59.21,44016,2,Bachelor,0.3238,0.0072,0.6608,373,0.7075,0.0246,None
Marketing Specialist,Marketing,52.97,Medium,63.92,65.99,3.74,30.61,95.15,71.99,55022,12,Master,0.8647,-0.0151,0.9457,348,0.1716,0.6135,ChatGPT
Teacher,Tech,10.23,Low,34.67,51.76,50.03,46.33,5.91,65.14,57938,7,High School,0.954,0.0011,0.5015,316,0.7958,0.6676,Gemini
HR Specialist,Manufacturing,1.8,Low,54.97,16.74,85.44,49.8,98.38,14.44,148171,8,Master,0.2942,0.0989,0.8959,419,0.8008,0.0162,Midjourney
Sales Manager,Marketing,16.94,Low,79.28,97.85,58.8,54.22,85.78,59.49,91720,6,Master,0.9053,-0.0442,0.1048,94,0.587,0.9493,Copilot
Accountant,Retail,76.1,High,44.53,37.5,27.69,30.06,66.03,13.14,135514,6,Master,0.9974,0.0176,0.5316,110,0.4915,0.5422,Claude
Civil Engineer,Healthcare,38.46,Medium,50.31,10.69,39.77,66.73,73.5,40.12,163058,11,High School,0.7977,-0.095,0.3161,436,0.4674,0.6123,Gemini
UX Designer,Retail,80.49,High,40.39,49.38,68.03,64.51,7.27,56.9,106478,14,Master,0.3902,0.0269,0.7957,443,0.4205,0.5642,AutoGPT
Data Analyst,Tech,50.19,Medium,49.78,87.4,89.08,57.78,4.15,55.89,173233,10,Bachelor,0.6085,-0.0721,0.445,211,0.0886,0.3169,AutoGPT
UX Designer,Finance,3.27,Low,36.76,88.73,4.11,11.38,10.18,11.91,157101,7,Master,0.3642,-0.0294,0.4753,421,0.6554,0.9006,Midjourney
Consultant,Energy,84.61,High,19.18,1.1,7.15,47.7,8.74,3.44,124699,5,High School,0.996,-0.0188,0.0648,419,0.5773,0.0038,AutoGPT
Teacher,Marketing,93.63,High,59.66,88.63,32.51,35.62,54.74,79.82,129273,10,High School,0.0679,-0.0794,0.438,342,0.0158,0.7472,ChatGPT
Product Manager,Energy,7.42,Low,32.6,27.15,23.28,49.1,21.54,72.59,93745,2,Bachelor,0.8931,-0.0099,0.0808,34,0.2027,0.3608,Midjourney
Data Analyst,Education,20.84,Low,60.7,3.9,26.49,92.19,86.02,8.18,162283,14,High School,0.0745,0.0245,0.2996,380,0.4363,0.1902,AutoGPT
Business Analyst,Manufacturing,71.56,High,59.14,84.78,22.13,48.05,44.57,12.74,161301,0,Bachelor,0.0422,0.0078,0.1269,40,0.9013,0.4361,ChatGPT
Sales Manager,Finance,99.72,High,52.45,86.39,19.58,1.4,69.55,89.26,148972,6,Master,0.9399,-0.0299,0.3345,477,0.9903,0.198,ChatGPT
HR Specialist,Education,87.63,High,56.26,59.62,13.06,43.88,65.29,76.91,175417,0,Bachelor,0.8673,-0.0263,0.2274,216,0.7513,0.8688,ChatGPT
Plumber,Construction,9.89,Low,57.16,57.44,93.4,82.06,31.99,99.62,131489,0,Master,0.3616,0.0584,0.2852,411,0.7493,0.7956,AutoGPT
Accountant,Manufacturing,60.72,Medium,61.21,81.31,14.42,78.01,24.32,25.4,61819,8,High School,0.9575,0.0796,0.1484,177,0.4153,0.857,ChatGPT
Marketing Specialist,Retail,66.52,Medium,54.74,78.63,20.44,51.34,34.25,48.78,77779,12,High School,0.8619,0.0441,0.4396,352,0.571,0.8359,None
Plumber,Healthcare,63.08,Medium,64.55,89.01,24.63,24.98,79.67,23.65,122244,9,High School,0.902,0.144,0.4976,76,0.2328,0.8248,Copilot
Customer Support,Marketing,56.81,Medium,53.47,55.27,93.3,46.51,58.63,62.28,95584,6,Bachelor,0.5951,0.1362,0.8366,200,0.7382,0.5814,AutoGPT
Data Analyst,Tech,29.22,Low,59.5,96.76,75.57,56.37,25.35,11.54,176245,12,Master,0.9583,-0.0754,0.5388,20,0.0598,0.902,ChatGPT
Sales Manager,Tech,66.85,Medium,93.8,99.61,78.97,99.99,81.78,12.72,88032,10,High School,0.8096,-0.0347,0.2288,420,0.4172,0.0591,Copilot
Mechanic,Retail,72.85,High,27.18,11.65,10.48,64.42,5.48,7.19,145074,12,Bachelor,0.94,0.1171,0.7359,174,0.8314,0.2859,None
Electrician,Legal,57.58,Medium,74.77,84.95,83.63,69.43,69.92,69.36,129273,3,Bachelor,0.2815,-0.0926,0.2972,149,0.9799,0.2126,Claude
HR Specialist,Tech,49.72,Medium,47.68,49.98,40.82,49.15,43.91,49.41,58036,5,Master,0.5321,0.048,0.7564,490,0.6966,0.1211,Copilot
Electrician,Marketing,21.9,Low,49.11,38.76,26.28,35.45,73.13,61.77,101356,0,High School,0.8677,0.1386,0.3872,421,0.1973,0.0064,AutoGPT
Teacher,Retail,54.47,Medium,78.45,61.31,57.58,81.3,92.75,87.93,175364,6,High School,0.5797,0.0697,0.5137,271,0.5711,0.4026,AutoGPT
Software Engineer,Finance,12.83,Low,43.36,5.6,82.22,49.49,75.0,74.03,33052,11,High School,0.8011,-0.077,0.5038,335,0.5605,0.724,ChatGPT
Marketing Specialist,Tech,7.27,Low,64.77,50.65,77.87,99.47,44.2,46.17,74377,14,Bachelor,0.9731,0.087,0.9556,437,0.9658,0.6449,None
Doctor,Energy,77.79,High,49.3,87.09,89.0,45.71,15.1,98.44,97819,5,Bachelor,0.8046,-0.0059,0.1537,222,0.8402,0.651,None
Software Engineer,Retail,67.63,Medium,36.26,21.35,92.81,6.8,80.64,45.63,143689,3,Master,0.3154,0.1304,0.9386,354,0.049,0.8881,None
UX Designer,Marketing,64.9,Medium,52.32,42.64,23.81,68.26,46.07,11.25,176692,6,Bachelor,0.1187,-0.0284,0.562,56,0.2201,0.9574,AutoGPT
Data Analyst,Energy,92.81,High,35.38,93.95,42.39,4.66,7.53,99.27,60461,2,Bachelor,0.2727,0.0183,0.9937,45,0.8419,0.6806,Claude
HR Specialist,Manufacturing,38.08,Medium,46.6,42.86,1.46,25.05,71.91,2.28,50750,0,Bachelor,0.6628,0.0867,0.5731,91,0.9725,0.0849,None
Nurse,Manufacturing,39.97,Medium,33.47,35.84,87.93,35.37,29.19,54.99,39472,3,High School,0.0109,-0.0356,0.6564,53,0.2947,0.6767,Midjourney
Consultant,Tech,41.37,Medium,40.96,44.05,15.46,73.95,4.89,30.91,99263,2,Bachelor,0.1897,-0.0546,0.7496,240,0.6907,0.5548,Copilot
Nurse,Energy,46.53,Medium,63.88,51.95,86.15,49.42,90.28,50.36,142036,0,PhD,0.3269,-0.0993,0.8218,462,0.3078,0.0644,Midjourney
Plumber,Healthcare,51.28,Medium,38.12,63.2,32.94,2.86,48.31,55.87,55523,1,Master,0.8752,0.022,0.4776,416,0.0411,0.2571,Claude
Product Manager,Manufacturing,77.8,High,56.62,80.07,36.81,61.68,28.1,24.01,133262,10,Master,0.051,0.1322,0.6786,416,0.8295,0.2377,Copilot
Sales Manager,Healthcare,21.77,Low,52.66,45.21,3.91,41.14,71.64,55.69,96060,4,Master,0.0499,-0.0296,0.6149,96,0.7388,0.7728,ChatGPT
Customer Support,Finance,43.41,Medium,87.51,81.75,32.69,92.18,88.59,75.61,39079,14,High School,0.5518,-0.0892,0.4071,44,0.0533,0.3452,Copilot
Consultant,Retail,50.51,Medium,34.45,53.37,88.84,49.96,0.03,26.65,169471,7,High School,0.1778,0.0551,0.8208,358,0.1455,0.5007,ChatGPT
HR Specialist,Education,16.91,Low,57.84,33.85,2.55,70.9,68.79,38.34,90726,0,High School,0.2422,-0.086,0.1924,462,0.9995,0.7857,Gemini
Teacher,Marketing,70.19,High,54.79,65.8,40.63,21.89,76.7,26.82,122906,3,Bachelor,0.1842,0.0267,0.1671,326,0.6508,0.9365,Copilot
Mechanic,Retail,5.63,Low,56.29,71.77,3.14,76.1,20.99,82.06,46532,13,High School,0.5816,-0.0046,0.7364,218,0.8004,0.5382,Copilot
Business Analyst,Marketing,58.59,Medium,58.95,55.8,37.09,72.1,48.96,72.5,152689,3,Bachelor,0.0555,0.0189,0.6375,175,0.3886,0.5553,Midjourney
Plumber,Energy,20.21,Low,35.0,5.66,17.26,90.41,8.93,87.12,73162,4,Bachelor,0.94,-0.0593,0.3177,189,0.5182,0.0959,Midjourney
Nurse,Finance,0.85,Low,31.68,16.99,25.22,3.38,74.67,17.0,164821,6,Master,0.1231,-0.0774,0.6351,11,0.6199,0.4943,Claude
Software Engineer,Construction,31.58,Medium,52.68,28.53,87.76,44.75,84.75,7.36,41353,12,Master,0.9516,0.0872,0.7706,412,0.806,0.6865,ChatGPT
Teacher,Tech,42.91,Medium,35.67,28.26,43.6,67.92,10.82,11.94,142313,11,Master,0.7781,-0.0386,0.217,376,0.3389,0.1891,AutoGPT
Customer Support,Marketing,81.73,High,52.83,67.34,27.38,9.52,81.65,16.1,58477,7,High School,0.828,0.1001,0.5814,456,0.6723,0.1113,Midjourney
Customer Support,Marketing,40.78,Medium,40.02,1.83,58.93,41.06,77.16,53.31,116373,14,High School,0.1728,0.0896,0.8247,204,0.7757,0.8633,None
Data Analyst,Energy,91.54,High,68.16,75.57,14.21,94.21,34.69,97.09,172509,5,Bachelor,0.6696,-0.0504,0.4112,487,0.8051,0.1149,Claude
Doctor,Healthcare,84.25,High,46.39,26.53,25.94,43.59,69.03,35.72,34551,0,Bachelor,0.8171,0.1271,0.5717,362,0.4992,0.9131,ChatGPT
Doctor,Retail,19.27,Low,43.18,31.0,54.62,98.54,0.0,95.85,98359,6,Bachelor,0.558,-0.0597,0.0785,32,0.4734,0.2737,ChatGPT
Plumber,Construction,15.57,Low,50.55,52.79,23.75,5.68,93.18,3.82,173988,2,Bachelor,0.5511,0.0993,0.8305,35,0.1045,0.33,ChatGPT
Nurse,Legal,24.38,Low,49.47,21.59,67.91,71.78,55.04,92.69,156150,14,Bachelor,0.1594,0.0051,0.7961,39,0.4977,0.5256,Gemini
HR Specialist,Tech,35.97,Medium,69.53,88.45,49.15,58.1,62.03,18.12,77636,12,Bachelor,0.4142,-0.0542,0.4563,284,0.7019,0.1881,ChatGPT
Business Analyst,Education,58.35,Medium,41.69,8.54,77.2,50.05,66.47,91.25,59685,12,Bachelor,0.1505,0.1345,0.1192,176,0.9206,0.6886,Claude
Customer Support,Legal,12.41,Low,65.89,44.44,94.82,97.08,56.14,5.62,81134,12,Bachelor,0.9729,0.1408,0.6604,99,0.1252,0.5239,ChatGPT
HR Specialist,Retail,53.2,Medium,61.19,84.94,11.58,12.97,85.68,94.82,118916,5,Bachelor,0.6849,0.0278,0.573,233,0.9689,0.9461,AutoGPT
HR Specialist,Tech,58.08,Medium,70.72,61.58,33.47,89.6,60.97,20.08,137967,14,Bachelor,0.0484,0.0173,0.9195,115,0.2341,0.9112,AutoGPT
Civil Engineer,Marketing,66.09,Medium,63.04,29.23,31.95,69.12,90.78,30.27,124455,7,Bachelor,0.4768,0.1252,0.2798,37,0.1759,0.7697,ChatGPT
Business Analyst,Education,55.01,Medium,42.07,42.08,15.12,25.9,58.23,49.09,79756,6,High School,0.638,0.049,0.0323,136,0.1145,0.1848,Claude
Accountant,Healthcare,82.52,High,59.32,70.67,81.03,90.17,17.11,38.07,152863,9,Bachelor,0.0956,-0.0335,0.2547,466,0.9901,0.2138,Copilot
Marketing Specialist,Construction,64.16,Medium,77.2,97.33,75.99,42.93,91.36,66.75,91192,5,Master,0.665,0.0063,0.4279,70,0.561,0.2685,ChatGPT
Electrician,Healthcare,92.46,High,79.63,89.31,48.44,81.42,68.16,97.48,78733,8,Master,0.1773,0.109,0.1554,185,0.2706,0.8341,Claude
Mechanic,Finance,70.09,High,47.68,34.24,53.78,38.88,69.92,60.64,55993,8,Bachelor,0.4079,0.1149,0.9797,104,0.3175,0.6479,Midjourney
Doctor,Energy,43.61,Medium,94.49,99.82,5.95,85.09,98.55,72.15,54143,0,High School,0.6256,0.1348,0.2224,472,0.9503,0.1756,Claude
Doctor,Tech,20.97,Low,23.84,0.35,55.55,63.66,7.52,8.8,137044,0,Bachelor,0.3651,-0.0279,0.6779,105,0.9,0.4583,Gemini
Graphic Designer,Healthcare,1.05,Low,19.91,2.76,79.13,14.1,42.86,62.78,158406,0,Bachelor,0.3809,0.07,0.4541,150,0.35,0.9749,Midjourney
Doctor,Legal,9.04,Low,57.09,82.38,57.38,64.97,23.91,45.38,99351,7,Bachelor,0.8436,-0.0829,0.5551,95,0.0636,0.7323,AutoGPT
Business Analyst,Energy,18.97,Low,34.04,19.95,26.53,19.13,63.04,88.58,100309,11,Bachelor,0.3093,0.0815,0.9327,497,0.8335,0.9343,AutoGPT
Civil Engineer,Healthcare,21.64,Low,42.65,6.08,66.75,41.19,80.68,38.82,173518,12,Bachelor,0.6552,0.0408,0.5316,132,0.9144,0.8088,Copilot
Sales Manager,Manufacturing,74.2,High,45.79,23.71,36.15,17.03,96.63,67.95,149156,13,Bachelor,0.8492,-0.0376,0.3052,404,0.8375,0.7251,Copilot
Data Analyst,Finance,38.61,Medium,30.09,42.61,54.49,2.2,45.46,22.82,106000,11,Master,0.1526,0.0637,0.2208,362,0.913,0.8299,Claude
Product Manager,Retail,32.45,Medium,57.62,73.06,48.76,21.19,78.62,25.94,51576,13,High School,0.0459,-0.0662,0.892,225,0.5759,0.6926,Claude
Data Analyst,Construction,5.24,Low,69.26,62.43,38.12,53.64,91.71,37.61,33320,9,Master,0.8255,-0.0165,0.9867,433,0.8397,0.5674,ChatGPT
Consultant,Finance,53.87,Medium,46.75,23.76,71.89,48.16,68.33,30.41,171822,6,High School,0.5511,0.0002,0.2518,117,0.9439,0.7359,None
Data Analyst,Energy,61.29,Medium,41.58,50.33,88.39,50.15,24.27,25.39,133002,2,High School,0.8277,0.0943,0.7219,188,0.8899,0.2295,None
Product Manager,Manufacturing,87.79,High,59.39,92.62,0.52,24.77,60.79,4.97,56572,12,PhD,0.213,-0.0228,0.5058,79,0.5872,0.4903,ChatGPT
Software Engineer,Tech,50.28,Medium,82.34,81.5,93.36,68.52,97.0,83.67,47948,1,PhD,0.8326,-0.0877,0.6986,473,0.7465,0.9514,AutoGPT
Business Analyst,Legal,0.77,Low,67.17,32.32,51.15,70.43,98.76,6.43,146528,3,High School,0.0953,-0.0548,0.9642,423,0.7213,0.8086,Gemini
Doctor,Construction,6.53,Low,66.09,98.23,70.07,35.8,64.24,88.74,119051,2,Bachelor,0.8832,0.052,0.2761,136,0.803,0.9263,None
